net,length_um
_1351_,18.6
_1834_,18.59
_1783_,18.54
_0992_,18.5
_0706_,18.48
_1954_,18.48
final_sum2[4],18.46
_1488_,18.3
_0632_,18.28
_1195_,18.28
_1845_,18.28
_1439_,18.22
net103,18.22
net469,18.2
_0250_,18.16
_1952_,18.16
_1153_,18.14
_1352_,18.12
final_sum2[0],18.12
_0213_,18.1
_1960_,18.1
_1760_,18.06
_1902_,18.04
_0065_,18.02
_0988_,18.02
_1438_,18.02
_1112_,17.94
_1510_,17.94
_0093_,17.92
_1592_,17.92
_1105_,17.88
_2164_,17.87
_1842_,17.775
_1699_,17.68
net540,17.68
_0147_,17.66
_1761_,17.6
_1838_,17.56
final_sum1[11],17.56
final_sum1[6],17.56
sum_out5[10],17.53
_0900_,17.52
_1177_,17.52
_1318_,17.52
_1669_,17.495
_1233_,17.48
_1570_,17.48
_1288_,17.46
_1300_,17.46
_1673_,17.44
_1389_,17.36
_1483_,17.32
_1122_,17.3
sum_out5[8],17.25
sm2.s1.t2.A_wire\[4\],17.24
_0407_,17.22
_1866_,17.2
sm1.s2.t1.A_wire\[9\],17.16
_0329_,17.1
_1848_,17.09
sm2.s1.t1.A_wire\[4\],17.04
_1003_,17.02
_1102_,16.98
_1649_,16.96
_1134_,16.9
_1239_,16.9
_1875_,16.86
partial_sum14[4],16.78
_0762_,16.76
_2212_,16.74
_0853_,16.68
_1512_,16.66
_1449_,16.64
_1962_,16.58
_1495_,16.54
_1030_,16.48
_1628_,16.48
_2004_,16.48
_1860_,16.43
_1312_,16.42
data3[5],16.42
_2182_,16.38
sm2.s2.t1.A_wire\[4\],16.38
_1504_,16.29
_0122_,16.26
_0489_,16.26
_1360_,16.26
_2322_,16.26
_1843_,16.24
_1916_,16.24
_1063_,16.22
_1513_,16.22
final_sum1[12],16.2
final_sum2[1],16.2
data3[4],16.18
_1729_,16.16
_0492_,16.14
_0606_,16.14
_2159_,16.12
_0663_,16.1
_0808_,16.08
_0918_,16.06
_1332_,16
_0791_,15.98
_1340_,15.98
_1524_,15.94
_1231_,15.9
_0750_,15.88
_0931_,15.88
_1474_,15.86
_1560_,15.84
_1284_,15.8
_2113_,15.8
sm1.s1.t2.A_wire\[7\],15.78
_0254_,15.76
_2334_,15.76
sum_out6[1],15.73
_1160_,15.72
_0335_,15.68
_1170_,15.68
_1632_,15.68
_2111_,15.68
_0355_,15.66
_1781_,15.66
_2007_,15.65
_1562_,15.6
_0735_,15.54
_0173_,15.42
_1306_,15.4
_1359_,15.4
net440,15.4
_0437_,15.38
_1412_,15.38
_1257_,15.36
_1813_,15.34
_2000_,15.34
_0711_,15.3
_0869_,15.26
_1792_,15.24
_1182_,15.22
_1058_,15.2
_1181_,15.12
sm1.s2.t1.A_wire\[4\],15.12
net81,15.12
_1347_,15.06
_1443_,15.06
_2245_,15.02
partial_sum16[8],15
_1123_,14.98
_1289_,14.96
_1756_,14.96
_0901_,14.94
_1279_,14.92
_1643_,14.88
_1856_,14.88
_1416_,14.86
_1986_,14.86
partial_sum16[10],14.86
_0608_,14.84
sm2.s1.t2.A_wire\[5\],14.84
_1192_,14.81
_1563_,14.8
_1999_,14.79
data3[2],14.78
sm2.s1.t1.A_wire\[5\],14.775
_0201_,14.76
_1805_,14.76
_1812_,14.69
_1377_,14.68
_0997_,14.64
_0382_,14.6
_1612_,14.58
_2097_,14.58
data4[5],14.58
_0448_,14.575
_0642_,14.56
_0984_,14.56
sm1.s1.t1.A_wire\[7\],14.56
_2358_,14.52
_1371_,14.48
_1396_,14.48
_1253_,14.46
sm1.s2.t2.A_wire\[4\],14.46
_1272_,14.44
_1226_,14.42
_1844_,14.42
sum_out5[9],14.39
_0648_,14.34
_1061_,14.34
_1285_,14.34
data3[7],14.34
_0452_,14.32
partial_sum16[11],14.32
_1090_,14.3
net583,14.25
_1914_,14.14
_1964_,14.14
_0692_,14.12
data3[3],14.12
_0294_,14.1
_1342_,14.1
data8[3],14.1
_0488_,14.08
_1867_,14.07
_0185_,14.06
_1055_,14.06
partial_sum14[1],14.02
_1136_,14
_1588_,13.98
_0378_,13.96
_0717_,13.96
_0848_,13.96
_0879_,13.96
_1593_,13.94
sm2.s1.t2.A_wire\[7\],13.94
_0371_,13.92
_1138_,13.92
_1646_,13.9
_1852_,13.9
_0278_,13.88
_1394_,13.88
data4[4],13.88
_1953_,13.86
_1453_,13.84
_1861_,13.84
_2008_,13.84
net484,13.84
_1775_,13.82
sm2.s1.t1.A_wire\[7\],13.82
_0271_,13.8
_1485_,13.8
_0966_,13.76
_1480_,13.73
_1402_,13.64
_0091_,13.62
_1193_,13.6
_1010_,13.58
_1292_,13.58
_1442_,13.58
_1680_,13.58
_0640_,13.56
_1297_,13.56
partial_sum14[2],13.56
partial_sum14[3],13.56
_0726_,13.5
_1712_,13.5
_1873_,13.5
net108,13.5
_2079_,13.48
final_sum1[8],13.48
final_sum1[9],13.48
partial_sum16[13],13.48
partial_sum16[14],13.48
partial_sum16[15],13.48
_0073_,13.46
_1414_,13.46
_1890_,13.46
sm1.s1.t1.A_wire\[4\],13.46
sum_out7[0],13.45
_0312_,13.42
_1855_,13.4
_0744_,13.38
_1608_,13.38
_1626_,13.38
_1666_,13.38
net552,13.38
_0637_,13.34
_0768_,13.34
_0450_,13.28
_1773_,13.22
_2336_,13.22
data5[1],13.2
_1521_,13.12
_1057_,13.08
_1719_,13.08
_2078_,13.08
_0671_,13.04
_2062_,13.04
_0225_,13
_0428_,13
_1001_,13
_1881_,13
_0067_,12.98
sum_out8[10],12.97
_0287_,12.94
_1663_,12.94
_0595_,12.92
_1422_,12.92
_1571_,12.92
_1720_,12.92
sm2.s2.t2.A_wire\[5\],12.92
_2214_,12.82
_1908_,12.8
_1542_,12.79
data4[0],12.74
_1948_,12.72
_0327_,12.7
_1939_,12.7
_2061_,12.7
_1577_,12.68
_0061_,12.665
_0076_,12.66
_1183_,12.66
_0974_,12.64
_0990_,12.62
final_sum1[7],12.6
_0716_,12.58
_2258_,12.58
_0655_,12.56
_1520_,12.56
_0983_,12.55
_0002_,12.54
sm2.s2.t1.A_wire\[5\],12.54
_1219_,12.52
_1774_,12.52
net98,12.52
_0176_,12.5
_1004_,12.5
_1527_,12.49
_0746_,12.46
_1373_,12.455
_1918_,12.44
_1263_,12.42
_1417_,12.42
_2223_,12.39
_1217_,12.38
_2098_,12.38
_2153_,12.38
_2330_,12.38
addr4[0],12.38
_0229_,12.36
_2288_,12.36
_1374_,12.3
_1543_,12.3
_2183_,12.3
data3[6],12.28
data8[1],12.28
_0389_,12.26
sm2.s2.t2.A_wire\[7\],12.26
_1518_,12.24
net97,12.24
_0625_,12.18
sm1.s2.t1.A_wire\[5\],12.18
addr6[3],12.16
net168,12.16
_1782_,12.15
_1116_,12.14
sum_out6[2],12.13
_1113_,12.12
sum_out6[0],12.11
sum_out5[11],12.09
_0989_,12.08
_1120_,12.08
sum_out6[3],12.07
data5[6],12.04
_2136_,12.02
_1005_,12
_1584_,12
_1254_,11.98
_2119_,11.96
sum_out8[8],11.95
_1990_,11.9
_1222_,11.88
_1633_,11.88
_1675_,11.84
_1876_,11.84
_1158_,11.82
data6[0],11.82
sum_out7[5],11.81
_1934_,11.78
_1942_,11.76
_1991_,11.74
_0817_,11.72
_1064_,11.72
_0697_,11.7
data4[6],11.7
_0922_,11.68
_1049_,11.64
_2321_,11.63
_1260_,11.62
_0003_,11.615
_1499_,11.59
_0874_,11.58
_1221_,11.58
_1287_,11.58
_1623_,11.58
_2260_,11.58
net115,11.58
_0651_,11.54
_1549_,11.54
_1963_,11.54
_1444_,11.5
_1579_,11.5
sum_out5[7],11.47
_1014_,11.46
_1522_,11.46
_2120_,11.44
addr8[0],11.44
addr8[3],11.44
data2[1],11.44
_0987_,11.42
_1121_,11.42
_1995_,11.42
_1567_,11.36
_1587_,11.36
addr3[4],11.36
data3[1],11.36
data8[2],11.36
_0172_,11.355
_1826_,11.34
_1944_,11.32
_1554_,11.3
_0273_,11.28
_1750_,11.28
_0424_,11.26
_1015_,11.26
_1448_,11.26
_2014_,11.26
_0115_,11.24
_0277_,11.24
_0350_,11.24
_1815_,11.24
_1994_,11.22
_2286_,11.16
out2_2[3],11.15
_2009_,11.14
_0291_,11.12
_0295_,11.12
_0432_,11.12
_0578_,11.12
_0914_,11.12
_1091_,11.12
_1625_,11.12
_1967_,11.12
data8[4],11.12
_0014_,11.115
_0976_,11.1
_2203_,11.1
_1046_,11.08
_1910_,11.08
_2091_,11.06
_2133_,11.02
_0575_,11
_0733_,10.98
data3[0],10.98
_1836_,10.97
_2160_,10.96
_1830_,10.94
net99,10.92
_0906_,10.9
addr3[1],10.9
addr4[1],10.9
addr4[2],10.9
addr5[2],10.9
addr6[4],10.9
data4[3],10.9
data6[1],10.9
_0152_,10.88
_1688_,10.88
_0584_,10.86
_2276_,10.85
_0066_,10.84
_1305_,10.84
_1140_,10.82
_1418_,10.82
_1886_,10.82
_2016_,10.82
_2074_,10.82
sum_out7[2],10.81
_0332_,10.79
_0104_,10.78
_0636_,10.78
_0731_,10.78
_0936_,10.78
_1270_,10.78
sum_out6[7],10.77
_1044_,10.76
final_sum1[3],10.76
final_sum1[4],10.76
net182,10.74
_0885_,10.72
_1552_,10.72
_1213_,10.68
_0473_,10.66
_0912_,10.66
_1026_,10.66
_1069_,10.66
_1419_,10.66
_1440_,10.66
_1966_,10.66
net500,10.66
net510,10.66
_0281_,10.58
_1000_,10.58
_1051_,10.58
_1176_,10.58
_1741_,10.58
_1901_,10.58
out1_8[3],10.57
data5[7],10.56
net531,10.56
_1152_,10.54
_0653_,10.52
_1835_,10.5
_1984_,10.48
sm2.s1.t2.A_wire\[8\],10.48
_1023_,10.46
_1730_,10.44
addr2[0],10.44
addr4[4],10.44
addr5[0],10.44
addr5[1],10.44
net468,10.44
sm2.s1.t2.A_wire\[6\],10.42
net121,10.4
_1870_,10.36
sum_out7[4],10.35
out1_7[6],10.33
sum_out4[0],10.33
sum_out7[8],10.33
_0128_,10.32
_0474_,10.32
_2254_,10.32
sum_out3[10],10.31
final_sum1[0],10.3
final_sum1[1],10.3
final_sum1[2],10.3
_0141_,10.28
_0850_,10.28
_1647_,10.28
_1648_,10.28
_0639_,10.265
_0267_,10.24
_0676_,10.24
_1929_,10.23
_1179_,10.22
_1629_,10.22
out1_7[4],10.21
_1534_,10.2
_1277_,10.16
sm2.s2.t2.A_wire\[9\],10.16
_1558_,10.14
addr8[2],10.1
_1692_,10.08
_1801_,10.08
_1068_,10.04
_1399_,10.04
_2069_,10.04
_0714_,10
_2117_,10
_0140_,9.98
_1885_,9.98
addr2[1],9.98
addr2[3],9.98
addr3[3],9.98
addr6[0],9.98
addr7[0],9.98
addr7[1],9.98
addr7[2],9.98
addr7[3],9.98
addr7[4],9.98
data1[3],9.98
data2[5],9.98
data4[7],9.98
data6[3],9.98
data6[4],9.98
data6[5],9.98
data6[6],9.98
data6[7],9.98
data7[4],9.98
data7[5],9.98
data7[7],9.98
data8[0],9.98
data8[6],9.98
data8[7],9.98
_1075_,9.96
_1099_,9.96
sm2.s1.t2.A_wire\[10\],9.96
_1380_,9.94
sm1.s1.t2.A_wire\[5\],9.94
_0823_,9.92
_1904_,9.92
_1162_,9.91
_0308_,9.9
_1043_,9.9
_2166_,9.9
sum_out8[9],9.89
_1972_,9.88
_2331_,9.88
_2341_,9.88
net58,9.88
out1_6[5],9.87
_0107_,9.86
_0574_,9.86
_0845_,9.86
_1036_,9.86
_1132_,9.86
_1770_,9.86
_0086_,9.82
_0149_,9.82
_1368_,9.82
_1500_,9.82
_1754_,9.78
_2236_,9.78
sum_out4[2],9.75
sum_out4[6],9.75
_2262_,9.74
_1900_,9.72
_0394_,9.7
_1829_,9.7
_0171_,9.68
sm1.s2.t2.A_wire\[7\],9.68
_1912_,9.67
sm1.s1.t1.A_wire\[8\],9.64
_1974_,9.6
sm1.s2.t1.A_wire\[7\],9.58
_1357_,9.54
addr1[0],9.52
addr1[1],9.52
addr8[4],9.52
data1[2],9.52
data4[2],9.52
net57,9.52
_2001_,9.5
_0016_,9.485
_0667_,9.48
_1687_,9.48
_0214_,9.46
_2107_,9.46
_1085_,9.44
_1606_,9.43
_0133_,9.42
_0430_,9.42
_0894_,9.42
out1_2[9],9.41
sum_out6[9],9.41
_0072_,9.4
_0234_,9.4
net59,9.4
_1736_,9.395
sum_out3[11],9.37
_0390_,9.36
_1762_,9.36
_0804_,9.32
_1290_,9.32
_1868_,9.32
_1045_,9.28
_1936_,9.26
_1037_,9.24
_1393_,9.24
_1714_,9.24
_1887_,9.24
out1_3[3],9.21
out2_7[1],9.21
_1107_,9.2
_1127_,9.2
_0609_,9.18
_1906_,9.18
_1178_,9.16
_1917_,9.16
_1970_,9.16
sm1.s2.t2.A_wire\[10\],9.16
_2294_,9.14
_2200_,9.12
_2327_,9.1
out1[2],9.07
_0925_,9.06
addr1[2],9.06
addr1[3],9.06
addr1[4],9.06
addr2[2],9.06
addr2[4],9.06
addr3[0],9.06
addr3[2],9.06
addr4[3],9.06
addr5[3],9.06
addr5[4],9.06
addr6[1],9.06
addr6[2],9.06
data1[0],9.06
data1[1],9.06
data1[4],9.06
data1[5],9.06
data1[6],9.06
data1[7],9.06
data2[2],9.06
data2[3],9.06
data2[4],9.06
data2[6],9.06
data2[7],9.06
data4[1],9.06
data5[0],9.06
data5[2],9.06
data5[3],9.06
data5[4],9.06
data6[2],9.06
data7[0],9.06
data7[1],9.06
data7[2],9.06
data7[6],9.06
data8[5],9.06
_1463_,9.04
_1038_,9
_1905_,9
_1996_,9
_0786_,8.98
_1850_,8.98
_1862_,8.98
_2251_,8.98
net113,8.98
sum_out2[9],8.97
sum_out4[9],8.97
_0916_,8.96
_2314_,8.96
sum_out5[4],8.95
_0491_,8.94
_0710_,8.94
_1674_,8.94
_1731_,8.94
_1511_,8.93
_1428_,8.92
_1951_,8.92
_1988_,8.92
_1301_,8.9
_1693_,8.9
_1828_,8.88
out1_7[5],8.87
out2_6[4],8.87
sum_out8[11],8.87
_0309_,8.86
_1032_,8.86
_1489_,8.86
_1704_,8.86
out2_5[10],8.85
_1498_,8.84
_1210_,8.82
_1634_,8.82
_1514_,8.81
_1370_,8.78
_1735_,8.78
_0708_,8.76
_1476_,8.74
_1283_,8.73
sum_out1[2],8.73
_1372_,8.695
_1316_,8.68
_1778_,8.68
_0598_,8.66
_1008_,8.66
_1716_,8.66
_1378_,8.62
_0336_,8.6
_1932_,8.6
addr8[1],8.6
data2[0],8.6
data5[5],8.6
data7[3],8.6
_1100_,8.58
_1976_,8.56
_1973_,8.54
_0039_,8.525
_0465_,8.52
_1744_,8.52
_1857_,8.52
sm2.s2.t1.A_wire\[7\],8.52
out1_3[2],8.51
_1031_,8.5
_1817_,8.5
_2197_,8.5
_0670_,8.48
_0903_,8.46
_1367_,8.46
_1715_,8.46
_1837_,8.46
_0630_,8.44
_0919_,8.44
_1879_,8.44
_1980_,8.44
sum_out4[3],8.41
sum_out4[7],8.41
sum_out7[3],8.41
_1689_,8.4
_1739_,8.4
_1923_,8.4
out2_4[5],8.39
_1492_,8.37
_1161_,8.36
_1569_,8.36
_2020_,8.34
_0001_,8.32
_1144_,8.32
_2191_,8.32
_2196_,8.32
_1271_,8.28
_1299_,8.28
_1568_,8.28
_0314_,8.24
_1198_,8.24
_0195_,8.22
_0144_,8.2
sm1.s2.t1.A_wire\[10\],8.2
sm1.s2.t1.A_wire\[8\],8.2
_0926_,8.18
_1894_,8.16
_1653_,8.15
_1660_,8.14
_0788_,8.12
_1021_,8.12
_1405_,8.12
_1641_,8.1
net541,8.1
_0070_,8.08
_1927_,8.08
_0713_,8.06
_0985_,8.06
_1033_,8.06
_1141_,8.06
_1928_,8.06
out1_4[9],8.05
out1_6[3],8.05
out1_7[8],8.05
out1_8[7],8.05
out2_3[0],8.05
out2_5[2],8.05
sum_out2[1],8.05
sum_out3[6],8.05
sum_out3[9],8.05
_0203_,8.04
_0462_,8.04
_1467_,8.03
out1_2[5],8.03
out1_4[3],8.03
out1_4[7],8.03
out1_5[8],8.03
out1_6[1],8.03
out2[0],8.03
out2[4],8.03
out2[8],8.03
out2_2[9],8.03
out2_5[0],8.03
sum_out1[4],8.03
sum_out4[1],8.03
sum_out4[5],8.03
sum_out6[11],8.03
sum_out6[5],8.03
_0180_,8.02
_1853_,8.02
sum_out1[1],8.01
sum_out4[4],8.01
sum_out4[8],8.01
sum_out6[10],8.01
sum_out6[4],8.01
sum_out6[6],8.01
sum_out6[8],8.01
_0019_,8
_1847_,8
_1896_,7.98
_2044_,7.96
_0112_,7.94
_0449_,7.94
_0930_,7.94
_1604_,7.94
_1818_,7.94
sum_out2[10],7.93
_1384_,7.86
_1810_,7.86
sm2.s1.t1.A_wire\[10\],7.86
_1913_,7.8
_0447_,7.78
_1528_,7.78
_1322_,7.74
sm2.s2.t1.A_wire\[10\],7.74
_1479_,7.72
net433,7.7
net577,7.69
_0631_,7.68
_0828_,7.68
_1718_,7.68
_2081_,7.68
_2284_,7.68
_1780_,7.66
_0895_,7.64
_1334_,7.64
_1354_,7.64
_1710_,7.64
_2326_,7.64
sum_out5[6],7.61
sum_out8[7],7.61
_0121_,7.6
_0425_,7.6
_0445_,7.6
_1320_,7.6
_1409_,7.6
net271,7.6
out1[5],7.59
out2_5[5],7.59
sum_out1[10],7.59
sum_out2[8],7.59
sum_out8[6],7.59
_1814_,7.58
sum_out2[11],7.57
_0060_,7.565
_2304_,7.56
_1668_,7.54
_0704_,7.52
_1897_,7.52
_1259_,7.48
_1697_,7.48
_0509_,7.44
_1591_,7.44
net82,7.44
_1445_,7.42
_1787_,7.42
_0009_,7.4
_1432_,7.4
_1487_,7.4
_1600_,7.4
net582,7.37
out1_7[3],7.37
sum_out3[1],7.37
out1_2[1],7.35
out1_5[4],7.35
out2_4[3],7.35
out1_7[7],7.33
_1009_,7.32
_1941_,7.32
_0000_,7.285
_1763_,7.28
_0041_,7.245
_0006_,7.24
_0403_,7.22
_0443_,7.22
_0955_,7.22
_1462_,7.22
net419,7.22
_1335_,7.2
_1356_,7.2
_1427_,7.2
_2219_,7.2
sm2.s2.t1.A_wire\[6\],7.2
_0349_,7.18
_0701_,7.18
_1135_,7.18
_2003_,7.18
sm1.s1.t1.A_wire\[5\],7.18
net102,7.18
net558,7.18
sum_out7[11],7.15
_0476_,7.14
_0700_,7.14
_1310_,7.14
_2281_,7.14
_1208_,7.12
_0928_,7.1
_0932_,7.1
_1791_,7.1
_2027_,7.1
_2280_,7.1
sm2.s2.t1.A_wire\[9\],7.1
_0356_,7.08
sm2.s2.t2.A_wire\[8\],7.08
_0244_,7.06
_1425_,7.06
_1748_,7.06
_1969_,7.06
sum_out4[11],7.03
sum_out5[3],7.03
_1574_,7.01
out1[10],7.01
out1[6],7.01
out1_2[7],7.01
net579,7.01
out1_3[8],7.01
out1_5[6],7.01
out1_6[7],7.01
out1_8[1],7.01
out2[10],7.01
out2[6],7.01
out2_2[7],7.01
out2_3[8],7.01
out2_4[1],7.01
out2_5[6],7.01
sum_out1[9],7.01
sum_out2[0],7.01
sum_out3[8],7.01
sum_out5[2],7.01
_1475_,7
_2282_,7
rst,6.99
_0460_,6.98
_1819_,6.98
_1722_,6.965
_0736_,6.96
_1382_,6.96
sm2.s1.t2.A_wire\[9\],6.96
_1339_,6.94
_1426_,6.94
_1481_,6.94
_1732_,6.94
_0007_,6.925
_0950_,6.92
sum_out7[9],6.91
_0383_,6.9
_2335_,6.9
_1466_,6.86
_1472_,6.82
_0256_,6.8
_0523_,6.78
_1163_,6.78
_2259_,6.78
_0533_,6.76
_0545_,6.76
_0968_,6.76
_1755_,6.76
sm1.s2.t2.A_wire\[5\],6.76
_1017_,6.74
_1603_,6.74
_2026_,6.74
_2169_,6.74
_0438_,6.72
_1174_,6.72
_1401_,6.72
_1609_,6.72
_1685_,6.72
_1244_,6.7
out2_8[6],6.69
sum_out1[5],6.69
sum_out7[7],6.69
out1[8],6.67
out1_2[3],6.67
out1_3[10],6.67
out1_3[6],6.67
out1_4[1],6.67
out1_4[5],6.67
out1_5[10],6.67
out1_6[9],6.67
out1_7[2],6.67
out2[2],6.67
out2_2[1],6.67
out2_2[5],6.67
out2_3[10],6.67
out2_3[4],6.67
out2_3[6],6.67
out2_4[9],6.67
out2_5[8],6.67
out2_8[5],6.67
sum_out3[0],6.67
sum_out3[3],6.67
sum_out4[10],6.67
sum_out7[6],6.67
_0929_,6.66
out2_8[4],6.65
sum_out1[11],6.65
sum_out1[3],6.65
sum_out3[5],6.65
sum_out3[7],6.65
sum_out5[1],6.65
sum_out5[5],6.65
sum_out7[1],6.65
_0806_,6.64
_0860_,6.64
_1494_,6.64
_1851_,6.64
_0054_,6.625
_0008_,6.62
_0078_,6.62
_1341_,6.6
_1724_,6.6
_1956_,6.6
_2053_,6.58
out1_3[1],6.57
out1_3[5],6.57
out1_5[3],6.57
out1_8[10],6.57
_0188_,6.53
_0158_,6.52
_0967_,6.52
_1243_,6.52
_1355_,6.52
_1358_,6.52
net437,6.52
_1662_,6.5
_1407_,6.48
_1429_,6.48
_1799_,6.48
_1965_,6.48
_0377_,6.44
_0629_,6.42
_0924_,6.42
_1759_,6.4
_1559_,6.395
_1047_,6.38
_1126_,6.38
_2356_,6.32
_0303_,6.3
_1385_,6.3
_0212_,6.28
_1269_,6.28
_1497_,6.28
_0781_,6.26
_1435_,6.26
_1519_,6.26
_2048_,6.26
_2050_,6.26
_2333_,6.26
net436,6.26
net534,6.26
out1_5[2],6.23
_0010_,6.225
_0558_,6.2
_0943_,6.2
_1323_,6.2
_0139_,6.18
_0325_,6.18
_0402_,6.18
_1423_,6.18
_2201_,6.18
_1256_,6.16
_0435_,6.14
_0472_,6.14
_0580_,6.14
_0634_,6.14
_0644_,6.14
_0795_,6.14
_1070_,6.14
_1267_,6.14
_1286_,6.14
_1327_,6.14
_1878_,6.14
_2080_,6.14
_2224_,6.14
net519,6.14
_0564_,6.08
_1083_,6.08
_0036_,6.065
sm1.s2.t1.A_wire\[6\],6.06
_1656_,6.04
_1808_,6.02
sm2.s2.t2.A_wire\[10\],6.02
out1_4[10],5.99
sum_out1[7],5.99
_0729_,5.98
_0286_,5.96
sm2.s1.t1.A_wire\[9\],5.96
_1723_,5.94
_0307_,5.92
_0911_,5.92
_1013_,5.92
_1397_,5.9
_1496_,5.9
_2323_,5.86
_1280_,5.84
_1580_,5.84
_1734_,5.84
_1424_,5.82
_1821_,5.82
sm1.s2.t2.A_wire\[9\],5.82
_0439_,5.8
_0617_,5.8
_0686_,5.8
_1709_,5.8
_2192_,5.8
net83,5.8
_0864_,5.74
_1185_,5.74
_1987_,5.74
sm1.s1.t1.A_wire\[10\],5.74
_0242_,5.72
_0362_,5.72
_0940_,5.72
_0999_,5.72
_2021_,5.72
_0125_,5.7
_0388_,5.7
_1502_,5.7
_1924_,5.7
sm1.s1.t2.A_wire\[8\],5.7
sm2.s1.t1.A_wire\[6\],5.7
sm2.s2.t2.A_wire\[6\],5.7
_0077_,5.68
_0458_,5.68
_0544_,5.68
_0623_,5.68
_0812_,5.68
_1262_,5.68
_1431_,5.68
_1450_,5.68
_1743_,5.68
_1816_,5.68
_1979_,5.68
_1526_,5.65
out1_7[9],5.65
out1_8[4],5.65
out2_6[10],5.65
out2_6[2],5.65
out2_8[10],5.65
out2_8[2],5.65
out2_8[8],5.65
_2158_,5.645
out2_8[3],5.63
sum_out3[4],5.63
sum_out5[0],5.63
_0026_,5.62
_1971_,5.62
_1019_,5.6
_1215_,5.6
_1553_,5.6
_1831_,5.6
_1982_,5.6
_2293_,5.6
_0021_,5.58
_0813_,5.56
_1235_,5.56
_1386_,5.56
_0468_,5.52
_2181_,5.52
_0017_,5.5
_1576_,5.48
_1975_,5.48
_0467_,5.46
_0192_,5.44
_0044_,5.435
_0046_,5.435
_0410_,5.4
_0482_,5.4
_0556_,5.4
_0628_,5.4
_0905_,5.4
_1379_,5.4
_0969_,5.38
_2051_,5.38
net537,5.38
_1266_,5.36
_1530_,5.36
_1642_,5.36
_2059_,5.36
sm1.s1.t1.A_wire\[6\],5.36
_0110_,5.34
_0169_,5.34
_0721_,5.34
_1073_,5.34
_1128_,5.34
_1194_,5.34
_1616_,5.34
_2005_,5.34
_2205_,5.34
_2231_,5.34
net563,5.34
out1[3],5.31
out1_2[10],5.31
out1_8[8],5.31
out2_3[1],5.31
out2_4[6],5.31
out2_5[3],5.31
out2_6[6],5.31
out2_6[8],5.31
out2_7[3],5.31
out2_7[5],5.31
out2_7[7],5.31
out2_7[9],5.31
out2_8[0],5.31
sum_out2[3],5.31
sum_out2[5],5.31
sum_out2[7],5.31
sum_out8[1],5.31
sum_out8[3],5.31
sum_out8[5],5.31
out2_6[1],5.29
out2_6[3],5.29
out2_6[5],5.29
out2_6[7],5.29
out2_6[9],5.29
out2_7[0],5.29
out2_7[10],5.29
out2_7[2],5.29
out2_7[4],5.29
out2_7[6],5.29
out2_7[8],5.29
out2_8[1],5.29
out2_8[7],5.29
out2_8[9],5.29
sum_out1[0],5.29
sum_out1[6],5.29
sum_out1[8],5.29
sum_out2[2],5.29
sum_out2[4],5.29
sum_out2[6],5.29
sum_out3[2],5.29
sum_out7[10],5.29
sum_out8[0],5.29
sum_out8[2],5.29
sum_out8[4],5.29
_0232_,5.28
_0283_,5.28
_1261_,5.28
_1410_,5.28
_2253_,5.28
_1304_,5.27
_0961_,5.26
_0977_,5.26
_1255_,5.26
_1337_,5.26
_1738_,5.26
_2036_,5.26
_2134_,5.26
_2297_,5.26
_1658_,5.24
_0164_,5.22
_0191_,5.22
_0249_,5.22
_0346_,5.22
_0417_,5.22
_0581_,5.22
_0829_,5.22
_0935_,5.22
_1024_,5.22
_1071_,5.22
_1501_,5.22
_2029_,5.22
_2057_,5.22
_2132_,5.22
net336,5.22
net555,5.22
_0964_,5.16
_1981_,5.16
_0510_,5.14
_0616_,5.14
_0965_,5.14
_1145_,5.14
_1659_,5.14
_0505_,5.12
_0975_,5.12
sm2.s1.t1.A_wire\[8\],5.12
_1708_,5.1
_0050_,5.085
_1702_,5.06
_0576_,5.04
_1490_,5.02
_1106_,5
_1657_,5
_1268_,4.95
net581,4.95
_1771_,4.94
_2006_,4.94
_0068_,4.92
_0258_,4.92
_0363_,4.92
_0493_,4.92
_0732_,4.92
_0934_,4.92
_0978_,4.92
_1034_,4.92
_1166_,4.92
_1469_,4.92
_1985_,4.92
_2198_,4.92
_1413_,4.9
_1822_,4.9
_2063_,4.9
_0470_,4.88
_1167_,4.88
_1247_,4.88
_1644_,4.88
_1661_,4.88
_1793_,4.88
_1841_,4.88
_1931_,4.88
_2106_,4.88
_2345_,4.88
_0222_,4.82
_0633_,4.82
_1164_,4.82
_1803_,4.82
_2049_,4.82
net399,4.82
net543,4.82
_0137_,4.8
_0297_,4.8
_0385_,4.8
_0761_,4.8
_1147_,4.8
_1478_,4.8
_1619_,4.8
_1811_,4.8
_1947_,4.8
_2022_,4.8
_2298_,4.8
net331,4.8
_1769_,4.78
_0339_,4.76
_0479_,4.76
_1011_,4.76
_1922_,4.76
_0583_,4.7
_1614_,4.7
_0330_,4.68
_1387_,4.68
_1451_,4.68
_0585_,4.66
_2148_,4.66
sm1.s1.t2.A_wire\[9\],4.66
_0589_,4.655
_1654_,4.61
_2199_,4.61
out1[4],4.61
out1_5[1],4.61
out1_7[10],4.61
out2_5[4],4.61
_1705_,4.6
_2351_,4.6
_0785_,4.58
_1446_,4.56
_1989_,4.56
_0178_,4.54
_1455_,4.54
_0047_,4.525
_1949_,4.51
_0872_,4.48
_0998_,4.48
_1209_,4.48
_2171_,4.48
_0136_,4.46
_0740_,4.46
_0884_,4.46
_1477_,4.46
_2035_,4.46
_2238_,4.46
