net,length_um
net295,155.14
_0331_,154.835
_0659_,154.75
_0231_,154.11
_0347_,153.71
net78,153.62
_0202_,152.82
_0660_,152.8
net426,152.72
_0807_,152.455
net396,152.42
_1282_,152.39
_0780_,152.385
net404,152.3
net202,152.18
_1159_,151.92
net96,151.66
_2249_,151.63
net403,151.25
_1547_,150.72
net292,149.82
_0889_,149.38
_0142_,149.24
_1028_,147.98
net77,147.36
_0353_,147.205
net408,146.68
net394,145.56
clknet_3_5__leaf_clk,144.88
_0668_,144.76
net136,144.73
_0105_,144.5
net36,144.24
net549,144.14
net402,144.04
net128,143.7
net76,143.3
_0342_,142.72
net74,142.72
net409,142.56
_1573_,141.96
_0677_,141.87
_0123_,141.85
net33,141.52
_0796_,141.5
_0197_,141.34
_0334_,141.18
_0102_,141.03
_0187_,140.91
_0757_,140.72
_0693_,140.62
net512,140.58
_1461_,140.43
_0809_,140.39
_2270_,140.205
_0560_,140.195
_0771_,139.16
_0255_,138.45
net398,138.4
_0896_,138.16
_0215_,138.15
net273,138.08
_1184_,138.02
_0789_,137.995
net155,137.94
_0650_,137.78
net445,137.33
net75,136.98
_0658_,136.845
_1872_,136.77
_1251_,136.76
_1066_,136.45
_0661_,136.4
clknet_3_0__leaf_clk,135.82
net38,135.78
_2261_,135.43
net66,135.36
_1077_,135.2
_0890_,135.05
_2303_,134.915
_0344_,134.54
net67,134.23
_0126_,134.165
net216,134.16
_0375_,133.84
net249,133.2
net322,132.94
net338,132.89
_0436_,132.76
net35,132.7
_0337_,132.21
_0764_,132.14
_0411_,132.12
_0114_,131.96
net395,131.94
_2239_,131.725
net12,131.58
_0524_,131.46
net550,131.36
net95,131.25
_2307_,131.03
_0495_,130.555
net65,130.48
_0218_,129.96
_0367_,129.74
net341,129.74
_0782_,129.72
net400,129.4
net407,129.22
net564,129.14
_0220_,129
_2265_,128.705
_1052_,128.34
_0517_,128.27
_1550_,128.13
_1882_,127.94
_0546_,127.82
net438,127.41
_2228_,127.29
net340,127.26
_0319_,127.035
_2279_,126.98
_2255_,126.97
_0120_,126.675
_2105_,126.59
_0649_,126.54
net432,126.54
_0724_,126.23
_1096_,125.84
net405,125.79
_0719_,125.745
net69,125.64
_0787_,125.45
_0539_,125.39
_0299_,125.23
net567,125.08
_0758_,125.07
_0803_,124.93
net337,124.72
_2240_,124.55
net417,124.455
_1551_,124.4
_2213_,124.16
_0366_,124.02
_2126_,123.85
_0769_,123.76
_2309_,123.56
_0834_,123.375
net428,123.25
net339,123.035
net68,122.89
_0206_,122.74
_2357_,122.68
_0688_,122.4
net373,122.4
_1200_,122.28
_0687_,122.185
_1539_,121.78
net94,121.74
_0522_,121.54
_0216_,121.41
_2229_,121.26
net32,120.8
net110,120.8
net157,120.64
_1564_,120.52
_0669_,120.34
_1094_,120.315
_0324_,119.905
_0537_,119.85
_0801_,119.56
_0408_,118.99
_1234_,118.94
_0087_,118.28
_1602_,118.22
_2090_,117.91
net70,117.91
_1250_,117.6
_2140_,117.545
_0413_,117.52
_1311_,117.35
_1053_,116.86
net414,116.63
_1733_,116.54
_2227_,116.34
_2272_,115.98
_1800_,115.9
net418,115.33
_0657_,115.245
net460,114.82
net240,114.56
net31,114.52
net412,114.36
_2116_,114.315
_0285_,114.26
net446,114.26
_0239_,113.345
net551,113.04
net462,112.94
_0531_,112.88
net187,112.88
net293,112.81
_1482_,112.7
net246,112.56
net329,112.48
_0280_,112.26
_0310_,112.26
net416,112.26
_2328_,112.225
_2278_,111.965
_0359_,111.58
_0754_,111.43
_0373_,111.295
_0247_,111.21
_0603_,111.21
net411,110.79
_0849_,110.58
net532,110.54
net332,110.48
_0516_,110.39
_1840_,110.24
_1190_,110.18
_0089_,109.86
_0547_,109.695
net248,109.58
_1681_,109.295
_1745_,109.17
_0219_,108.8
_0562_,108.205
_0887_,108.14
_0459_,107.86
_0698_,107.6
_2137_,107.48
_1465_,107.4
net215,107.18
_0400_,106.815
_1596_,106.635
_0261_,106.6
net93,106.38
_0094_,106.045
_0275_,105.985
net90,105.89
_1764_,105.82
net390,105.8
net435,105.48
_0384_,105.43
net444,105.22
_0715_,104.585
net89,104.12
_0148_,103.87
_0269_,103.78
_0085_,103.485
_0248_,103.285
_0718_,103.235
_0594_,103.165
_0240_,102.98
_1007_,102.4
_0619_,102.12
_0333_,101.055
_0552_,100.87
net441,100.85
_0501_,100.84
_1540_,100.8
net92,100.58
_0270_,100.515
net439,100.43
_0396_,100.25
_2118_,100.06
_0766_,99.815
_0777_,99.61
_1486_,99.24
net421,98.96
_0892_,98.94
_2155_,98.91
_0910_,98.73
net429,98.7
_0326_,98.62
_0665_,98.46
net377,98.46
_0463_,98.405
net342,97.7
_2332_,97.38
_0405_,97.3
_0599_,97
_2252_,96.86
net424,96.59
net333,96.5
_0095_,96.305
_2230_,96.17
net91,96.12
net520,96.06
_0092_,96.05
_0160_,96.04
net514,95.88
_0515_,95.78
net415,95.3
_0816_,95.17
_2082_,95.08
_0554_,95.05
net214,94.96
net130,94.62
_0364_,94.52
net422,94.47
_1684_,94.21
_0328_,93.92
_1165_,93.9
_1313_,93.86
_0672_,93.16
net423,92.94
_0446_,92.76
_0088_,92.68
_0763_,92.62
_0508_,92.56
_2220_,92.51
net539,92.5
_2208_,92.08
_0513_,91.88
net461,91.75
net144,91.7
_0958_,91.55
_2301_,91.5
_0084_,91.24
clknet_3_2__leaf_clk,91.22
_2168_,91.085
_0300_,90.685
_0263_,90.68
_0082_,90.51
_1079_,90.34
_0571_,90.33
_1493_,90.11
_2114_,89.89
net117,89.26
_0399_,88.88
net118,88.55
net434,88.52
_0745_,87.99
net511,87.74
net506,87.58
_0397_,87.415
_0844_,87.365
_1636_,87.32
_0772_,87.205
_0694_,87.18
net516,87.16
_0071_,86.775
_2234_,85.995
_2092_,85.85
_1278_,85.66
_0847_,85.56
_0909_,85.42
_0526_,85.215
_0946_,85.16
net247,85.16
_1796_,85.09
_1087_,84.625
_0543_,84.57
_0939_,84.53
_2313_,84.44
_2100_,83.835
_1089_,83.6
_0166_,83.5
_1172_,83.41
_2225_,83.3
net454,83.265
_2151_,83.26
_0951_,83.13
_2233_,82.94
_0236_,82.83
clknet_3_6__leaf_clk,82.68
_0416_,82.54
net456,81.84
net459,81.46
_1751_,81.34
_0243_,81.28
_1188_,81.28
_1556_,81.15
_0707_,80.9
_1173_,80.9
_1677_,80.9
_1555_,80.58
net505,80.51
_1691_,80.48
_2141_,80.27
_0162_,80.24
_0962_,80.24
_0108_,79.95
_0322_,79.56
net406,79.12
_1398_,78.84
_0461_,78.47
_1777_,78.36
net472,77.24
net148,77.16
_0756_,76.58
_0221_,76.165
_1515_,75.97
_0759_,75.95
_0179_,75.94
_0591_,75.78
_0957_,75.71
_0210_,75.69
_1146_,75.2
_0605_,74.835
_0302_,74.26
_1532_,74.11
_0477_,74.06
net131,74.06
_0132_,73.89
net450,73.7
_0245_,73.66
_0673_,73.64
_0276_,73.22
_1627_,73.19
_0519_,73.075
_0454_,72.5
net448,72.48
net375,72.34
_1578_,72.3
_2242_,72.155
_2161_,71.94
_2147_,71.62
_0370_,71.45
_0652_,70.94
_0749_,70.94
_2186_,70.88
_2299_,70.86
_1794_,70.77
_1196_,70.67
_0177_,70.59
_0431_,70.28
_0662_,69.78
_0568_,69.515
_0134_,69.32
net147,69.22
net453,69.21
_0832_,68.98
_0942_,68.915
_0831_,68.71
_2300_,68.515
net457,68.48
_1317_,68.32
_0386_,68.26
_0527_,68.21
_2150_,68.175
_0615_,67.76
_0760_,67.735
_0165_,67.18
_0074_,67.06
_0592_,66.93
_0083_,66.785
_0529_,66.62
_1212_,66.42
_1572_,65.98
_0156_,65.56
_0805_,65.56
_0614_,65.52
_1471_,65.38
_1133_,65.22
net152,65.12
_2324_,65.035
_2210_,64.86
_2130_,64.835
_0097_,64.825
_1640_,64.74
_0842_,64.63
_1531_,64.48
net463,64.21
_2156_,63.98
net471,63.72
_0464_,63.68
net513,63.66
_0257_,63.145
_0379_,63.1
_1067_,63.01
net452,62.87
_1101_,62.34
net499,62.2
_0079_,61.96
net376,61.96
_2184_,61.74
_2289_,61.74
net495,61.74
_2217_,61.7
net122,61.16
_0881_,61.12
net509,61.08
_1470_,60.75
_0289_,60.67
_0641_,60.32
_0883_,60.22
_2124_,60.2
